id|nome|gbnord|gbest|tipologia|descrizione_categoria_bene|macroiteramm|descrizione_sottocategoria_bene|prov|comune|indirizzo|link_scheda_rt|desitergiu|destipodest|descrizioneentedest|colonna|dataprovvdest|annoprovvdest|ufficio_giudiziario|distretto|procedura|numero_decreto|fonte|
A-PT-59394-S|Agliana - A-PT-59394-S - aziende - Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa - Indirizzo imprecisato|4863122.5|1660922.21|Aziende in gestione|Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa|In gestione|Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa|Pistoia|Agliana|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Prato|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-LU-15621|Altopascio - I-LU-15621 - immobili - Appartamento in condominio - LOC SPIANATE, VIA PUCCINI 7/9|4852349|1637914|Immobili destinati|Unità immobiliare per uso di abitazione e assimilabile|Destinato|Appartamento in condominio|Lucca|Altopascio|Via Puccini 7/9 – Loc. Spianate|http://www.regione.toscana.it/-/altopascio-loc-spianate-via-puccini-7-9|Confisca definitiva|Trasferimento al patrimonio degli enti territoriali|Comuni||2003|29/05/2003|Tribunale|REGGIO DI CALABRIA|7/1998|107|ANBSC-OR-2018-01-03|
I-LU-15632|Altopascio - I-LU-15632 - immobili - Appartamento in condominio - LOC SPIANATE, VIA PUCCINI 7/9|4852349|1637914|Immobili destinati|Unità immobiliare per uso di abitazione e assimilabile|Destinato|Appartamento in condominio|Lucca|Altopascio|Via Puccini 7/9 – Loc. Spianate|http://www.regione.toscana.it/-/altopascio-loc-spianate-via-puccini-7-9|Confisca definitiva|Trasferimento al patrimonio degli enti territoriali|Comuni||2003|29/05/2003|Tribunale|REGGIO DI CALABRIA|7/1998|107|ANBSC-OR-2018-01-03|
I-LU-15640|Altopascio - I-LU-15640 - immobili - Appartamento in condominio - LOC SPIANATE, VIA PUCCINI 7/9|4852349|1637914|Immobili destinati|Unità immobiliare per uso di abitazione e assimilabile|Destinato|Appartamento in condominio|Lucca|Altopascio|Via Puccini 7/9 – Loc. Spianate|http://www.regione.toscana.it/-/altopascio-loc-spianate-via-puccini-7-9|Confisca definitiva|Trasferimento al patrimonio degli enti territoriali|Comuni||2003|29/05/2003|Tribunale|REGGIO DI CALABRIA|7/1998|107|ANBSC-OR-2018-01-03|
I-LU-15648|Altopascio - I-LU-15648 - immobili - Appartamento in condominio - LOC SPIANATE, VIA PUCCINI 7/9|4852349|1637914|Immobili destinati|Unità immobiliare per uso di abitazione e assimilabile|Destinato|Appartamento in condominio|Lucca|Altopascio|Via Puccini 7/9 – Loc. Spianate|http://www.regione.toscana.it/-/altopascio-loc-spianate-via-puccini-7-9|Confisca definitiva|Trasferimento al patrimonio degli enti territoriali|Comuni||2003|29/05/2003|Tribunale|REGGIO DI CALABRIA|7/1998|107|ANBSC-OR-2018-01-03|
I-LU-15656|Altopascio - I-LU-15656 - immobili - Box, garage, autorimessa, posto auto - LOC SPIANATE, VIA PUCCINI 7/9|4852349|1637914|Immobili destinati|Terreno|Destinato|Box, garage, autorimessa, posto auto|Lucca|Altopascio|Via Puccini 7/9 – Loc. Spianate|http://www.regione.toscana.it/-/altopascio-loc-spianate-via-puccini-7-9|Confisca definitiva|Trasferimento al patrimonio degli enti territoriali|Comuni||2003|29/05/2003|Tribunale|REGGIO DI CALABRIA|7/1998|107|ANBSC-OR-2018-01-03|
A-AR-43917-S|Anghiari - A-AR-43917-S - aziende - Alberghi e ristoranti - Indirizzo imprecisato|4825395.3200000003|1747021.9399999999|Aziende in gestione|Alberghi e ristoranti|In gestione|Alberghi e ristoranti|Arezzo|Anghiari|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Reggio Calabria|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-AR-8014-S|Arezzo - I-AR-8014-S - Box, garage, autorimessa, posto auto - Indirizzo imprecisato|4816687.2699999996|1733152.3799999999|Immobili in gestione|Box, garage, autorimessa, posto auto|In gestione|Box, garage, autorimessa, posto auto|Arezzo|Arezzo|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Latina|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-AR-8015-S|Arezzo - I-AR-8015-S - Box, garage, autorimessa, posto auto - Indirizzo imprecisato|4816687.2699999996|1733152.3799999999|Immobili in gestione|Box, garage, autorimessa, posto auto|In gestione|Box, garage, autorimessa, posto auto|Arezzo|Arezzo|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Latina|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-AR-8016-S|Arezzo - I-AR-8016-S - Box, garage, autorimessa, posto auto - Indirizzo imprecisato|4816687.2699999996|1733152.3799999999|Immobili in gestione|Box, garage, autorimessa, posto auto|In gestione|Box, garage, autorimessa, posto auto|Arezzo|Arezzo|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Latina|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-AR-8017-S|Arezzo - I-AR-8017-S - Box, garage, autorimessa, posto auto - Indirizzo imprecisato|4816687.2699999996|1733152.3799999999|Immobili in gestione|Box, garage, autorimessa, posto auto|In gestione|Box, garage, autorimessa, posto auto|Arezzo|Arezzo|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Latina|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-AR-8018-S|Arezzo - I-AR-8018-S - Appartamento in condominio - Indirizzo imprecisato|4816687.2699999996|1733152.3799999999|Immobili in gestione|Appartamento in condominio|In gestione|Appartamento in condominio|Arezzo|Arezzo|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Latina|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-AR-8019-S|Arezzo - I-AR-8019-S - Appartamento in condominio - Indirizzo imprecisato|4816687.2699999996|1733152.3799999999|Immobili in gestione|Appartamento in condominio|In gestione|Appartamento in condominio|Arezzo|Arezzo|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Latina|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-AR-8020-S|Arezzo - I-AR-8020-S - Appartamento in condominio - Indirizzo imprecisato|4816687.2699999996|1733152.3799999999|Immobili in gestione|Appartamento in condominio|In gestione|Appartamento in condominio|Arezzo|Arezzo|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Latina|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-AR-8021-S|Arezzo - I-AR-8021-S - Appartamento in condominio - Indirizzo imprecisato|4816687.2699999996|1733152.3799999999|Immobili in gestione|Appartamento in condominio|In gestione|Appartamento in condominio|Arezzo|Arezzo|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Latina|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-AR-8022-S|Arezzo - I-AR-8022-S - Appartamento in condominio - Indirizzo imprecisato|4816687.2699999996|1733152.3799999999|Immobili in gestione|Appartamento in condominio|In gestione|Appartamento in condominio|Arezzo|Arezzo|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Latina|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-AR-8023-S|Arezzo - I-AR-8023-S - Appartamento in condominio - Indirizzo imprecisato|4816687.2699999996|1733152.3799999999|Immobili in gestione|Appartamento in condominio|In gestione|Appartamento in condominio|Arezzo|Arezzo|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Latina|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-AR-8024-S|Arezzo - I-AR-8024-S - Appartamento in condominio - Indirizzo imprecisato|4816687.2699999996|1733152.3799999999|Immobili in gestione|Appartamento in condominio|In gestione|Appartamento in condominio|Arezzo|Arezzo|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Latina|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-AR-8025-S|Arezzo - I-AR-8025-S - Appartamento in condominio - Indirizzo imprecisato|4816687.2699999996|1733152.3799999999|Immobili in gestione|Appartamento in condominio|In gestione|Appartamento in condominio|Arezzo|Arezzo|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Latina|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-AR-8026-S|Arezzo - I-AR-8026-S - Appartamento in condominio - Indirizzo imprecisato|4816687.2699999996|1733152.3799999999|Immobili in gestione|Appartamento in condominio|In gestione|Appartamento in condominio|Arezzo|Arezzo|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Latina|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-AR-8027-S|Arezzo - I-AR-8027-S - Appartamento in condominio - Indirizzo imprecisato|4816687.2699999996|1733152.3799999999|Immobili in gestione|Appartamento in condominio|In gestione|Appartamento in condominio|Arezzo|Arezzo|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Latina|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-AR-8028-S|Arezzo - I-AR-8028-S - Appartamento in condominio - Indirizzo imprecisato|4816687.2699999996|1733152.3799999999|Immobili in gestione|Appartamento in condominio|In gestione|Appartamento in condominio|Arezzo|Arezzo|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Latina|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-AR-8029-S|Arezzo - I-AR-8029-S - Box, garage, autorimessa, posto auto - Indirizzo imprecisato|4816687.2699999996|1733152.3799999999|Immobili in gestione|Box, garage, autorimessa, posto auto|In gestione|Box, garage, autorimessa, posto auto|Arezzo|Arezzo|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Latina|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-AR-8030-S|Arezzo - I-AR-8030-S - Box, garage, autorimessa, posto auto - Indirizzo imprecisato|4816687.2699999996|1733152.3799999999|Immobili in gestione|Box, garage, autorimessa, posto auto|In gestione|Box, garage, autorimessa, posto auto|Arezzo|Arezzo|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Latina|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-AR-8031-S|Arezzo - I-AR-8031-S - Box, garage, autorimessa, posto auto - Indirizzo imprecisato|4816687.2699999996|1733152.3799999999|Immobili in gestione|Box, garage, autorimessa, posto auto|In gestione|Box, garage, autorimessa, posto auto|Arezzo|Arezzo|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Latina|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-AR-8032-S|Arezzo - I-AR-8032-S - Box, garage, autorimessa, posto auto - Indirizzo imprecisato|4816687.2699999996|1733152.3799999999|Immobili in gestione|Box, garage, autorimessa, posto auto|In gestione|Box, garage, autorimessa, posto auto|Arezzo|Arezzo|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Latina|Misure di Prevenzione||ANBSC-OR-2018-01-03|
I-AR-8033-S|Arezzo - I-AR-8033-S - Box, garage, autorimessa, posto auto - Indirizzo imprecisato|4816687.2699999996|1733152.3799999999|Immobili in gestione|Box, garage, autorimessa, posto auto|In gestione|Box, garage, autorimessa, posto auto|Arezzo|Arezzo|Indirizzo imprecisato||Confisca definitiva||||||Tribunale|Latina|Misure di Prevenzione||ANBSC-OR-2018-01-03|
